Sample,Simulation,Landmark,Type,Success,Error,Misalign,Dice,X,Y,Z
1,13,4,Affine,TRUE,1.37814,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,4,BSpline,TRUE,1.47569,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,4,Rigid,TRUE,1.158,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,14,1,Affine,TRUE,1.7898,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,1,BSpline,TRUE,0.570475,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,1,Rigid,TRUE,0.561034,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,2,Affine,TRUE,1.80921,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,2,BSpline,TRUE,1.10686,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,2,Rigid,TRUE,0.917437,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,3,Affine,TRUE,4.66107,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,3,BSpline,TRUE,1.82816,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,3,Rigid,TRUE,0.795183,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,4,Affine,TRUE,1.33776,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,4,BSpline,TRUE,1.48016,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,14,4,Rigid,TRUE,1.14478,4.04441211051,0.827277,-1.1113641,2.07063,-3.2916
1,15,1,Affine,TRUE,1.56749,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,1,BSpline,TRUE,0.524506,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,1,Rigid,TRUE,0.456391,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,2,Affine,TRUE,1.77465,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,2,BSpline,TRUE,1.05848,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,2,Rigid,TRUE,0.710162,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,3,Affine,TRUE,4.22422,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,3,BSpline,TRUE,1.8782,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,3,Rigid,TRUE,0.817121,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,4,Affine,TRUE,1.12821,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,4,BSpline,TRUE,1.47056,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,15,4,Rigid,TRUE,1.25249,4.4891093692,0.832312,-4.4868041,0.10163,0.1018
1,16,1,Affine,TRUE,1.81196,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,1,BSpline,TRUE,0.548184,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,1,Rigid,TRUE,0.569556,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,2,Affine,TRUE,1.81333,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,2,BSpline,TRUE,1.0743,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,2,Rigid,TRUE,1.00723,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,3,Affine,TRUE,4.70466,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,3,BSpline,TRUE,1.85606,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,3,Rigid,TRUE,0.524772,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,4,Affine,TRUE,1.32073,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,4,BSpline,TRUE,1.47956,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,16,4,Rigid,TRUE,1.22731,2.84541426292,0.826702,2.3202659,1.07203,-1.2504
1,17,1,Affine,TRUE,1.8944,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,1,BSpline,TRUE,0.553919,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,1,Rigid,TRUE,0.454238,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,2,Affine,TRUE,1.78455,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,2,BSpline,TRUE,1.1374,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,2,Rigid,TRUE,0.915025,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,3,Affine,TRUE,4.86844,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,3,BSpline,TRUE,1.80787,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,3,Rigid,TRUE,0.82734,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
1,17,4,Affine,TRUE,1.30659,3.54079787738,0.82451,2.7729259,-1.03204,-1.945
