CaseID, Init.Err, Res.Err
8,8.64841,0.176089
8,10.4585,0.0720381
6,10.6381,0.151037
5,11.2596,18.5143
3,8.21644,0.0206145
2,8.40003,0.0703787
8,6.2349,0.0412371
8,9.45291,0.0482489
6,12.2439,4.33969
6,10.036,0.165707
3,13.0261,-1
9,10.7177,0.0983446
10,9.21424,0.0274533
3,7.61524,0.0384045
9,14.1555,0.330552
6,11.6417,13.1373
2,6.00002,0.0303782
1,11.2165,0.0455554
8,13.6766,11.2826
4,5.46779,0.124474
4,8.91047,0.0239273
4,10.5306,0.0468294
4,7.08787,0.0292253
4,6.48034,0.0369041
9,10.7177,0.12897
2,7.60003,0.0646827
3,9.81965,2.81493
7,13.1073,15.0995
4,12.5557,0.28576
7,6.04952,0.114024
5,9.85219,0.180117
4,13.7707,17.9717
10,6.00929,0.0253267
2,7.60003,0.00781125
3,13.2265,9.3471
10,11.017,0.0628271
8,13.0732,1.13697
9,10.7177,0.0560731
9,10.9199,0.11461
2,7.80003,0.115351
3,7.01404,0.042356
3,10.0201,7.98148
7,14.1156,8.77918
10,9.41455,0.0254756
2,9.40003,0.0634112
1,5.40794,0.0739876
4,10.5306,0.0619055
1,9.21352,0.141666
3,5.61123,0.060993
7,13.9139,15.3641
2,11.2,9.07938
5,12.6671,0.139677
3,10.8217,2.85425
4,13.7707,25.1494
7,10.6875,0.119082
8,11.8664,2.20707
6,14.0504,2.38575
4,6.88536,0.150794
6,9.03238,0.0729313
6,13.6489,14.3648
2,7.00002,0.0544158
6,8.2295,0.137447
1,10.0147,0.0562623
2,5.80002,0.117948
8,8.44728,-1
4,11.9481,0.195888
9,11.5266,0.0833201
7,13.309,7.43664
3,8.61725,0.0437907
9,6.47107,0.0591789
10,5.80898,0.102497
10,10.0155,0.114147
7,10.0825,0.135331
1,6.20911,0.113744
5,7.03728,0.0839611
9,7.6844,0.0750524
5,10.4554,0.061193
7,11.4941,11.5644
1,13.8203,19.0247
10,7.81207,0.0439524
4,9.72051,0.0189491
8,7.84391,0.0421936
2,10.6,19.0147
2,13.6,12.8343
5,13.0692,12.2381
6,10.8389,9.58623
3,12.0241,7.25119
5,11.0586,0.167538
10,12.0186,-1
10,13.4207,11.8949
8,8.64841,0.0617786
7,8.46933,0.13206
1,11.8173,0.121984
7,13.9139,0.0432424
1,13.62,0.417419
4,10.1255,0.0472008
1,13.62,0.74342
4,11.7456,0.0785673
8,7.0394,0.126091
1,6.40941,0.132063
7,13.9139,2.70087
6,8.63094,0.0228003
2,8.80003,0.103402
7,13.5106,0.2639
6,11.6417,10.8151
10,6.81053,0.14174
5,10.6564,0.0425021
10,12.8198,12.1307
2,8.00003,0.0741419
5,8.6458,0.0632818
6,5.62015,0.0361808
4,12.3532,0.122713
9,8.08884,0.0692744
2,12.6,18.535
5,8.24367,0.283806
9,8.29106,0.0320824
1,9.8144,0.104588
2,5.20002,0.0421149
4,12.3532,0.361519
2,9.00003,0.125536
4,11.7456,0.140377
2,12.6,4.77228
9,13.3466,4.08731
9,10.7177,0.0807251
9,9.09995,0.0662494
7,7.66273,0.0212122
8,10.4585,0.0829027
4,9.518,0.170633
8,9.25179,0.0311931
10,8.61331,0.0750049
5,8.24367,0.0967158
7,12.099,0.101912
2,8.80003,0.107242
3,9.61925,10.2633
2,14,13.6066
8,7.44165,0.0367248
4,12.5557,17.9003
1,6.20911,0.0747683
6,6.82446,0.120137
7,7.25943,0.075501
1,13.4197,21.3044
3,13.0261,12.7091
2,8.40003,0.103719
3,11.4229,0.557731
1,7.01029,0.0980126
3,7.81564,0.0203125
6,7.2259,0.053503
3,7.01404,0.0118641
3,13.0261,8.80062
5,7.64047,0.0155279
4,13.3657,11.1077
9,9.70661,0.0373689
9,10.5155,0.0792968
9,9.50439,0.0681846
