CaseID, Init.Err, Res.Err
3,9.01805,0.100791
7,11.0908,16.5862
5,7.03728,0.120961
1,10.0147,0.065947
1,4.00588,0.098473
10,14.0217,24.2795
10,11.017,0.014886
6,2.00719,0.0705168
7,3.02476,0.0945843
9,7.07773,0.0725293
5,5.02663,-1
6,1.0036,0.0801392
4,7.08787,0.0298066
2,9.00003,0.0887084
3,2.00401,0.0436561
10,7.01084,0.0748884
1,5.00735,0.0973136
5,11.0586,0.215199
3,6.01203,0.0209957
2,12,10.5794
5,15.0799,14.8108
3,6.01203,0.0448228
9,2.02221,0.0718252
1,13.0191,2.55446
9,0,-1
2,7.00002,0.0617331
3,5.01003,0.0541875
8,11.0619,0.16628
1,13.0191,26.7057
9,4.04442,0.0628111
7,0,0
9,12.1333,0.0972999
1,8.01176,0.0632311
3,13.0261,13.8047
7,11.0908,0.226881
1,8.01176,0.125823
4,5.06277,0.0561272
9,8.08884,0.0444369
10,7.01084,0.074251
8,7.0394,0.0484261
5,4.0213,0.0806487
6,12.0432,10.7846
1,6.00882,0.0822327
8,10.0563,0.0233606
8,2.01126,0.0403906
10,14.0217,0.212743
5,3.01598,0.060025
9,14.1555,0.382067
5,7.03728,0.223474
2,1,0.0447618
8,6.03377,-1
10,5.00774,0.00971113
2,8.00003,0.061848
5,5.02663,-1
5,12.0639,0.108001
10,12.0186,0.181998
2,10,0.141809
6,10.036,0.121745
4,8.10043,0.0765954
9,2.02221,0.0197807
4,8.10043,0.0954276
1,7.01029,0.0437761
10,12.0186,0.196482
3,8.01604,0.141964
2,12,0.171268
7,5.04127,0.0418979
8,3.01689,-1
7,15.1238,9.90617
2,8.00003,0.0479838
9,8.08884,0.040596
7,6.04952,0.0297184
1,11.0162,0.0824848
9,13.1444,0.33684
7,15.1238,16.9371
8,3.01689,0.0173883
8,8.04503,0.13262
9,7.07773,0.0249735
5,2.01065,0.0278062
9,5.05552,0.0747896
10,5.00774,0.0367784
9,2.02221,-1
4,8.10043,0.0381743
5,10.0533,0.0292122
6,12.0432,0.812628
6,14.0504,10.9343
9,2.02221,0.0537658
5,9.04793,0.226928
7,7.05778,0.0494426
7,8.06603,0.105876
6,7.02518,0.0285637
10,14.0217,18.5881
6,14.0504,9.29439
6,13.0468,12.8555
3,15.0301,13.7517
7,2.01651,0.0571874
4,11.1381,0.0313483
6,4.01439,0.0496939
3,7.01404,0.0648183
8,15.0844,4.21772
5,14.0746,9.09461
7,3.02476,0.018893
8,4.02252,0.0484018
3,0,4.75E-14
1,9.01323,0.0670315
10,4.00619,0.0404569
6,9.03238,0.0631132
1,1.00147,0.0457183
7,11.0908,19.5021
4,12.1506,9.97205
5,15.0799,7.12523
9,14.1555,1.18998
3,11.0221,5.83666
5,2.01065,0.0632024
6,8.02878,0.0859545
9,4.04442,0.0359077
4,7.08787,0.021973
8,12.0675,0.096329
3,3.00602,0.0490122
6,3.01079,-1
5,14.0746,18.5768
2,6.00002,0.119354
2,11,0.147669
8,0,8.35E-14
7,6.04952,0.0474153
1,15.022,6.7334
6,6.02158,0.102568
9,10.111,0.0439624
6,2.00719,0.0163512
4,11.1381,0.18507
10,15.0232,21.4952
1,5.00735,0.0962503
6,8.02878,0.115593
8,3.01689,0.0491843
8,15.0844,5.83417
10,9.01393,0.137265
10,1.00155,0.0807514
7,9.07428,0.211289
9,9.09995,0.083981
8,14.0788,20.8301
6,6.02158,0.112372
9,12.1333,1.10155
5,1.00533,0.0316873
6,15.054,3.38808
4,11.1381,0.0227749
8,3.01689,0.032886
2,2.00001,0.0404107
2,3.00001,0.026917
10,12.0186,22.6148
3,15.0301,25.0145
9,7.07773,0.0486845
9,14.1555,0.810962
8,4.02252,0.101306
5,9.04793,0.143643
2,12,13.7784
3,15.0301,20.0042
8,13.0732,19.3957
7,5.04127,0.078568
10,10.0155,0.0668284
5,13.0692,18.4172
1,10.0147,0.135963
9,11.1222,0.369838
3,14.0281,16.2862
10,3.00464,-1
5,15.0799,13.6312
1,9.01323,0.0693402
4,3.03766,-1
9,5.05552,0.112869
10,1.00155,0.0709542
1,5.00735,0.100591
8,6.03377,0.0349687
9,8.08884,0.0678649
3,13.0261,9.85282
1,7.01029,-1
6,13.0468,4.69202
3,8.01604,0.0291291
8,10.0563,0.0762498
7,0,-1
2,6.00002,0.0807832
7,9.07428,0.0637378
5,7.03728,0.0499639
3,4.00802,0.0478291
1,0,-1
9,8.08884,0.0786371
7,0,6.15E-15
8,3.01689,-1
2,11,9.26765
1,12.0176,0.0777317
6,3.01079,0.146404
9,14.1555,1.04078
6,2.00719,0.0551423
7,0,-1
4,6.07532,0.124266
1,5.00735,0.0623943
5,1.00533,0.0312537
9,9.09995,0.045433
8,7.0394,0.0686704
7,14.1156,17.1259
7,0,0
6,0,-1
4,9.11298,0.0560178
5,11.0586,0.152604
9,15.1666,1.38933
7,8.06603,0.0947208
9,4.04442,0.0584097
9,10.111,0.0838721
1,11.0162,0.0926037
1,9.01323,0.0974719
4,7.08787,0.103799
5,14.0746,16.4338
2,15.0001,18.3266
2,12,14.6118
1,15.022,1.43687
9,9.09995,-1
2,14,-1
6,7.02518,0.156192
3,10.0201,0.488769
3,1.00201,0.0301809
10,4.00619,0.0471435
10,10.0155,0.0397319
6,11.0396,15.792
8,14.0788,29.6537
4,0,6.75E-14
5,11.0586,-1
10,15.0232,16.6026
5,1.00533,0.0145673
7,2.01651,0.0138173
3,15.0301,10.6241
9,14.1555,0.357575
8,10.0563,0.0940926
1,6.00882,0.0768521
5,6.03195,0.307877
7,15.1238,19.3253
1,1.00147,0.0668396
9,1.01111,0.0587827
6,0,1.17E-13
2,4.00001,0.150427
2,8.00003,0.061848
2,3.00001,0.0462397
8,10.0563,0.0233388
7,2.01651,0.108183
2,14,13.1927
1,15.022,29.0567
8,7.0394,0.0477544
5,10.0533,0.113312
5,1.00533,0.0447662
7,4.03302,0.0852601
3,3.00602,0.113796
6,5.01799,-1
5,11.0586,0.0467104
8,2.01126,0.0578632
5,8.0426,0.100919
6,11.0396,10.5235
8,4.02252,0.0352432
7,11.0908,0.140523
2,15.0001,11.9275
3,1.00201,0.0155004
9,13.1444,13.5391
9,8.08884,0.0444369
10,5.00774,0.031666
5,8.0426,0.0593546
6,9.03238,0.0720951
2,10,-1
5,10.0533,0.0754882
10,14.0217,20.5047
2,13,5.80991
8,9.05066,0.0438146
2,3.00001,0.0801189
7,6.04952,0.0472879
4,9.11298,0.0686484
6,9.03238,0.135065
1,13.0191,0.0836525
4,10.1255,0.0567736
9,6.06663,-1
2,1,0.020045
6,13.0468,3.89741
10,15.0232,5.36684
10,2.0031,-1
8,0,1.87E-14
1,9.01323,0.0523747
3,1.00201,-1
10,15.0232,0.815563
3,12.0241,12.8579
3,14.0281,12.154
10,0,-1
4,4.05021,0.0164698
2,1,0.0532996
5,4.0213,0.0152484
4,15.1883,7.13162
7,3.02476,0.0468185
2,13,21.3514
5,13.0692,10.5738
10,12.0186,0.128627
2,13,9.49969
2,0,3.61E-14
5,13.0692,17.8225
10,7.01084,0.0580279
2,5.00002,0.0585404
7,14.1156,17.0399
10,8.01238,0.0522339
8,14.0788,0.247076
10,4.00619,0.0582265
3,2.00401,0.029148
2,5.00002,0.064995
4,4.05021,0.0251283
7,8.06603,0.039484
4,8.10043,0.0855934
7,13.1073,16.3636
3,7.01404,0.0917185
1,1.00147,0.0743115
1,4.00588,0.116154
7,11.0908,0.31491
8,12.0675,18.1351
4,8.10043,0.0263914
6,1.0036,0.0492368
2,6.00002,0.010873
3,15.0301,24.564
6,10.036,0.0398575
6,12.0432,12.8841
5,2.01065,0.119572
7,10.0825,0.0493763
9,6.06663,0.0854508
8,0,3.50E-14
4,3.03766,-1
8,15.0844,-1
2,5.00002,-1
2,8.00003,0.190437
7,12.099,0.101424
7,3.02476,0.0971464
7,8.06603,0.051855
6,12.0432,10.6184
9,3.03331,0.0390094
6,4.01439,0.0460134
7,8.06603,0.051855
1,3.00441,0.0570812
1,0,2.52E-14
7,1.00825,0.052504
8,7.0394,0.04141
7,7.05778,-1
7,13.1073,15.7135
6,0,-1
8,13.0732,25.8233
8,13.0732,21.5011
5,6.03195,0.0799051
10,12.0186,0.0999993
6,5.01799,0.175733
4,13.1632,0.0795921
7,9.07428,0.0522315
2,5.00002,0.035219
8,12.0675,0.0504908
1,15.022,0.0830778
8,11.0619,0.16599
9,15.1666,-1
2,6.00002,0.155685
1,9.01323,0.110128
9,14.1555,0.784775
2,1,0.0508529
7,6.04952,-1
9,7.07773,0.035255
6,14.0504,10.7766
9,3.03331,0.0633077
3,1.00201,0.0222788
3,5.01003,0.0635497
9,6.06663,0.0724863
3,10.0201,0.0763677
3,5.01003,0.038106
8,14.0788,7.06414
1,14.0206,17.6347
4,10.1255,0.0654369
10,12.0186,13.6006
3,7.01404,0.0925306
8,6.03377,0.0290588
5,9.04793,0.125553
10,3.00464,0.0227159
7,10.0825,0.291769
6,4.01439,0.142438
10,1.00155,0.0543306
5,12.0639,11.6498
8,5.02814,0.0347388
2,0,4.17E-14
1,2.00294,0.0389501
7,0,2.03E-14
10,6.00929,-1
7,1.00825,0.0384786
5,9.04793,0.0408196
1,3.00441,0.118118
8,9.05066,0.0281595
10,2.0031,0.125093
3,0,3.38E-14
6,8.02878,0.140867
6,10.036,1.75061
9,11.1222,0.0394411
1,8.01176,0.037782
8,15.0844,30.9825
6,6.02158,0.162749
2,10,0.0639611
2,7.00002,0.0580779
2,3.00001,0.0508488
4,3.03766,0.0330852
6,11.0396,4.96805
3,12.0241,3.51391
3,9.01805,0.0809481
6,2.00719,0.0911278
3,4.00802,0.0256242
3,11.0221,2.80983
1,15.022,9.86388
5,12.0639,3.21033
10,9.01393,0.136432
7,12.099,18.4045
6,0,6.03E-14
4,9.11298,0.0638338
6,3.01079,0.0603176
2,3.00001,0.0242022
5,12.0639,1.79526
7,4.03302,0.0186899
9,6.06663,0.0414858
7,4.03302,0.0302767
6,14.0504,18.2678
10,13.0201,9.26053
9,7.07773,0.0065838
2,5.00002,0.0600326
3,14.0281,18.6348
10,13.0201,20.5521
3,13.0261,10.9298
3,2.00401,0.0983264
9,11.1222,0.0906619
7,11.0908,0.123998
1,0,2.52E-14
7,6.04952,0.0349313
5,0,-1
3,0,4.47E-14
4,5.06277,0.0567803
9,3.03331,0.0678296
10,13.0201,19.3367
9,14.1555,1.19661
5,5.02663,0.118697
7,6.04952,0.097186
9,12.1333,11.803
9,2.02221,0.0329921
10,10.0155,0.00922262
2,14,15.3116
2,2.00001,0.0386899
4,13.1632,7.50223
10,1.00155,0.0336177
4,8.10043,0.0573612
10,15.0232,0.133143
3,12.0241,12.5055
4,14.1757,0.536569
10,0,2.57E-14
10,5.00774,0.276175
3,8.01604,-1
9,11.1222,0.232902
10,9.01393,0.0160901
6,6.02158,0.117627
1,1.00147,0.0458523
6,9.03238,0.0630054
5,5.02663,0.180373
3,2.00401,0.0476823
8,1.00563,0.0359324
1,10.0147,0.150629
7,12.099,0.329643
8,12.0675,0.0504908
6,5.01799,0.0492254
3,5.01003,0.0757826
10,1.00155,0.0709542
8,8.04503,0.0815035
5,11.0586,0.288151
3,11.0221,0.324456
10,7.01084,0.0149058
6,4.01439,0.0518226
1,2.00294,-1
9,12.1333,1.10989
10,6.00929,0.0883487
9,0,5.70E-14
6,5.01799,0.130233
10,11.017,9.4408
9,15.1666,0.634267
8,9.05066,0.0434477
2,14,0.282787
8,11.0619,0.0856267
1,5.00735,0.0309942
2,3.00001,0.0252713
9,15.1666,1.25403
1,4.00588,0.102697
10,13.0201,0.0602145
9,4.04442,0.0730665
5,4.0213,0.107965
4,11.1381,0.025277
6,7.02518,0.0487707
4,0,1.18E-13
3,7.01404,0.0198054
9,12.1333,0.0108023
3,13.0261,-1
9,10.111,0.0528369
7,15.1238,14.9661
1,4.00588,0.0485107
8,9.05066,0.0844015
4,9.11298,0.107461
9,13.1444,11.589
7,5.04127,0.196265
2,0,1.36E-14
3,3.00602,0.0906786
2,12,13.8218
8,11.0619,0.0995771
8,5.02814,0.114451
6,12.0432,9.01743
1,8.01176,0.0984358
1,3.00441,0.118118
4,6.07532,0.0339891
8,3.01689,0.0532225
9,13.1444,11.0338
6,8.02878,0.104342
1,15.022,14.2955
4,2.02511,0.0509676
2,13,14.6791
7,5.04127,0.0883445
5,3.01598,-1
10,5.00774,-1
8,7.0394,0.0974108
5,11.0586,0.271897
7,2.01651,0.0393149
5,15.0799,4.21227
3,12.0241,-1
7,11.0908,11.3242
2,2.00001,0.0285085
6,4.01439,0.0161506
9,15.1666,-1
1,9.01323,0.103596
8,12.0675,0.146373
3,8.01604,0.0312469
5,5.02663,0.110211
5,6.03195,0.0531615
6,0,-1
6,13.0468,9.5452
3,10.0201,0.0505805
8,13.0732,28.2807
6,1.0036,0.0608124
4,8.10043,0.0515962
3,2.00401,0.0725516
1,8.01176,0.0760313
1,14.0206,11.3457
4,8.10043,0.0450582
2,13,0.413267
8,1.00563,0.0870498
7,3.02476,0.0834993
7,1.00825,0.052504
7,12.099,17.1043
4,14.1757,0.426383
4,11.1381,0.0227749
3,7.01404,0.0841819
10,9.01393,0.074602
3,3.00602,0.0158285
8,2.01126,0.126571
10,8.01238,0.0244968
5,8.0426,0.034238
10,3.00464,0.0388904
7,8.06603,0.0244291
9,5.05552,0.075821
3,5.01003,0.100136
10,9.01393,0.0482946
5,3.01598,0.0860776
4,11.1381,0.930629
4,10.1255,0.0410226
10,8.01238,0.057676
7,9.07428,0.177028
6,3.01079,0.133937
1,2.00294,0.0335685
7,10.0825,0.113527
10,0,2.07E-13
2,1,0.0199062
9,6.06663,0.0854508
8,8.04503,0.0377068
6,15.054,8.79037
9,3.03331,0.0147603
3,9.01805,0.0181797
5,4.0213,0.0802991
5,6.03195,0.11691
7,7.05778,0.0193295
9,8.08884,0.09305
4,10.1255,0.143631
4,1.01255,0.0424066
2,9.00003,0.048144
1,7.01029,0.101668
1,12.0176,0.0667433
8,15.0844,22.1294
5,14.0746,20.995
2,12,15.9039
8,8.04503,0.0878575
1,14.0206,0.035379
2,13,6.16667
6,15.054,8.79037
10,6.00929,0.129364
7,9.07428,0.131992
5,6.03195,0.12684
5,14.0746,22.5037
6,2.00719,0.150611
3,6.01203,0.0231324
8,8.04503,0.0829989
8,9.05066,0.0451414
7,12.099,0.050307
6,7.02518,0.0850468
5,11.0586,0.157979
2,3.00001,-1
7,7.05778,0.0389217
1,8.01176,0.0488841
4,6.07532,0.0769094
9,6.06663,0.0467922
10,12.0186,0.955743
5,7.03728,0.0456228
4,15.1883,7.56682
7,2.01651,0.0349714
2,1,-1
